paperId,title,year,venue,citationCount,doi,query
cb5a6ad8341182b70b9c6f5626656233710eea51,Reinforcement learning based route optimization model to enhance energy efficiency in internet of vehicles,2025,Scientific Reports,15,10.1038/s41598-025-86608-5,route recommendation reinforcement learning vehicle
578664167d7d64c8110585db1d0bd67ca0712671,Reinforcement Learning Base Energy Efficient Route Optimization Model to Enhance Network Lifetime on the Internet of Vehicles,2025,Journal of Advanced Research Design,2,10.37934/ard.132.1.124139,route recommendation reinforcement learning vehicle
1d9cf988c47c9293637adf9abc0d40007682164c,On the Applicability of Reinforced Learning in the Route Selection Task of an Unmanned Vehicle,2023,"2023 Systems of Signal Synchronization, Generating and Processing in Telecommunications (SYNCHROINFO",8,10.1109/SYNCHROINFO57872.2023.10178444,route recommendation reinforcement learning vehicle
c7585a32106d53a367238896201c77e87b55b04e,A Novel Route Planning Approach Based on Energy-Based Action Sample Reinforcement Learning,2023,Chinese Control and Decision Conference,1,10.1109/CCDC58219.2023.10327188,route recommendation reinforcement learning vehicle
b372053e7c794860765dc9a82e57663e5a74c03c,Reinforcement Learning Based Reliable Route Selection for Internet of Vehicles,2019,,0,,route recommendation reinforcement learning vehicle
2f0de127ad2ca488cda86d77d4274bf945a8f837,Multi-objective reinforcement learning approach for trip recommendation,2023,Expert systems with applications,37,10.1016/j.eswa.2023.120145,trip recommendation deep reinforcement learning
8f38a869ebfc90e1f73d17a4945c9bd9d83be765,Enhancing Learning Path Recommendation via Multi-task Learning,2025,arXiv.org,1,10.48550/arXiv.2507.05295,trip recommendation deep reinforcement learning
c67e071ad8a52f2137057b6d64bc2035d73c3053,Learning Path Recommendation Based on Knowledge Tracing and Reinforcement Learning,2023,International Conference on Advanced Learning Technologies,11,10.1109/ICALT58122.2023.00021,path recommendation deep reinforcement learning traffic network
82af7c0c1298c4b2ceb9ac93dafeece50cc59b31,Smart E-Learning Framework for Personalized Adaptive Learning and Sequential Path Recommendations Using Reinforcement Learning,2023,IEEE Access,61,10.1109/ACCESS.2023.3305584,path recommendation deep reinforcement learning traffic network
b8f7e2163f3a6ef9d01cd97c57f4b18c7711a307,Personalized Learning Path Recommendation with Time-Aware Attention-Based Reinforcement Learning,2025,ACM Transactions on Intelligent Systems and Technology,4,10.1145/3747594,personalized route recommendation reinforcement learning
